,000,001,010,011,100,101,110,111
000,0,1211988,634299,337027,3423,503688,25007,972795
001,1323607,0,2403667,2648757,78718,2377948,1226707,2902236
010,1994946,347570,0,1295532,1270868,1218666,339517,2082194
011,2309559,155277,1294839,0,1294005,1327123,2806005,2984968
100,2984960,2806173,1325514,1295542,0,1295440,155220,2308591
101,2082304,339358,1218698,1271284,1295167,0,348467,1993246
110,2902268,1228901,2377732,78802,2649026,2402802,0,1322746
111,977036,24938,504193,3388,337984,636205,1214125,0
