,000,001,010,011,100,101,110,111
000,0,1418,1110,1066,37,1192,232,3174
001,1418,0,764,565,350,856,1628,231
010,1110,764,0,1286,1243,1632,831,1199
011,1066,565,1286,0,1226,1211,323,38
100,81,783,2765,2713,0,2705,1325,2323
101,2722,1940,3672,2695,2705,0,1603,2504
110,521,3648,1850,724,1325,1603,0,3055
111,7179,519,2719,81,2323,2504,3055,0
