,000,001,010,011,100,101,110,111
000,,0.15,0.3,0.1,0.0,0.05,0.05,0.35
001,0.15,,0.05,0.05,0.0,0.2,0.3,0.05
010,0.3,0.05,,0.1,0.1,0.15,0.05,0.1
011,0.1,0.05,0.1,,0.05,0.1,0.0,0.0
100,0.0,0.0,0.1,0.05,,0.1,0.0,0.1
101,0.05,0.2,0.15,0.1,0.1,,0.05,0.1
110,0.05,0.3,0.05,0.0,0.0,0.05,,0.2
111,0.35,0.05,0.1,0.0,0.1,0.1,0.2,
